Título|Autor|Categorias|Data de publicação|Editora|Páginas|ISBN|Lido|Período de leitura|Comentários|Sumário|Caminho da capa|imagem
Contabilidade introdutória|por uma equipe de professores da FEAUSP, coord. Sérgio de Iudícibus.||1998|Atlas|304|8522442622|Não|||Os livros que integram o conjunto 'Contabilidade Introdutória' - Livro-texto, livro de exercícios e manual do professor - inovam o ensino da Contabilidade no Brasil. O conjunto originou-se de cursos desenvolvidos no Departamento de Contabilidade da FEA/USP, sob a preocupação básica de clareza e de didática na exposição da matéria. Quanto ao conteúdo e ao enfoque operacional, a diretriz central tem sido a de apresentar a Contabilidade como poderoso instrumento de administração. O livro-texto parte de uma visão de conjunto dos relatórios emanados pela Contabilidade, descendo então em nível de detalhes sobre os lançamentos originários. Expõe os significados da função controladora da Contabilidade e das peças contábeis. Traz em apêndices explicações sobre a correção monetária do balanço e análise de demonstrações contábeis. ||contailidadeintrodudoria.jpeg
Convergente|Veronica Roth||2014|Rocco Jovens Leitores|526|9788579801860|Não||||/MyLibrary/Images/Books/5.png|s5.png
Conversas Dificeis|Bruce^Stone, Douglas Heen Sheila^Patton||2011|Elsevier|0|9788535249170|Não||||/MyLibrary/Images/Books/60.png|60.png
Corpo Revela, O|RON KURTZ||1989|Grupo Editorial Summus|168|9788532303431|Não|||O corpo fala claramente, revelando o caráter e a maneira de a pessoas ser no mundo. Revela traumas passados e a personalidade atual. Este livro é uma significativa contribuição ao campo da terapia corporal, apoiada nas idéias de Wilhelm Reich. Um guia revolucionário para você ler o seu corpo e ver a si mesmo - e aos outros - de maneira totalmente nova. Com texto leve e inciso, dos autores, dois conhecidos terapeutas corporais, nos trazem um livro totalmente ilustrado que possibilita a leitura de estrutura de nosso corpo, postura e psique. Um livro indispensável para o desenvolvimento do autoconhecimento.|/MyLibrary/Images/Books/139.png|139.png
Corrente crítica|Eliyahu M. Goldratt||2007|NBL Editora|260|9788521313106|Não|||Eli Goldratt é um educador, cientista, filósofo, e líder empresarial. Acima de tudo, é um pensador que induz os outros a pensar. Este livro, uma envolvente obra de ficção voltada à administração empresarial, faz ao Gerenciamento de Projetos o que os outros romances de Eli Goldratt fizeram à Produção e ao Marketing. 'Corrente crítica' é um livro de Administração empresarial escrito ao estilo de obra de ficção, capaz de transformarar a maneira de pensar e agir na área gerencial e a incentivar o administrador a reavaliar suas práticas sob uma um prisma novo e eficiente.|/MyLibrary/Images/Books/109.png|109.png
Crenças - Caminhos Para a Saude E O Bem-estar|TIM HALLBOM||1993|Grupo Editorial Summus|192|9788532304322|Não|||A programação neurolinguística por um de seus maiores representantes, Robert Dilts. Um manual revolucionário para ensinar, de uma forma rápida e efetiva, a identificar e remodelar nosso limitado sistema de crenças e comportamentos. Como combater fobias e medos irracionais, como aumentar nossa capacidade imunológica para lutar contra o câncer, a AIDS e outras doenças.|/MyLibrary/Images/Books/70.png|70.png
Cultura da Interface|Steven Johnson|Computers|2001|Jorge Zahar Editor Ltda|189|9788571105898|Não|||Johnson, uma das pessoas mais influentes na Internet segundo a revista 'Newsweek', supera a tradicional divisão entre cultura e tecnologia ao retomar o cruzamento histórico desta com a arte. Além disso, mostra como a interface do ciberespaço influencia a vida moderna e reflete suas principais características. Inovando, Johnson compara o papel do design tecnológico ao dos romances do século XIX - tornar as mudanças da sociedade compreensíveis para quem as vive. A nova linguagem visual é apenas uma maneira de tornar mais acessível a complexa rede de informações ao nosso alcance. Em estilo claro e original, este livro confere nova profundidade à discussão vital sobre como a tecnologia transformou a sociedade.|/MyLibrary/Images/Books/87.png|87.png
Cultura organizacional e cultura brasileira|Fernando C. Prestes Motta|Brazil|01/01/1997|Editora Atlas|325|9788522417674|Não|||Este livro pretende ser uma amostra das muitas possibilidades de aproximação, de alternativas de diálogo, entre a pesquisa sobre cultura organizacional no Brasil e o entendimento da cultura brasileira. A obra é uma coletânea que busca condensar trabalhos de diversos autores vindos de diferentes linhas de atuação em universidades no Brasil e no exterior. Os artigos dividem-se em seis partes - Cultura, cultura organizacional e cultura brasileira; Cultura organizacional brasileira e figuras recorrentes - o 'estrangeiro' e o 'pai'; Imaginário brasileiro e cultura organizacional; A cultura organizacional e o cotidiano nas organizações brasileiras; Cultura organizacional e cultura popular brasileira - futebol, samba e Salvador da Bahia; Reflexões - cultura organizacional e nossas organizações.|/MyLibrary/Images/Books/182.png|182.png
DAR E RECEBER|ADAM GRANT||01/01/2014|Sextante|288|9788543100739|Não|||Adam Grant reúne suas conclusões sobre os motivos pelos quais algumas pessoas chegam ao topo da escala de sucesso, enquanto outras permanecem na mediocridade. Ele explica que, nas interações profissionais, podemos atuar como tomadores, compensadores ou doadores. Os tomadores se esforçam para extrair o máximo possível dos outros; os compensadores se empenham em promover trocas equilibradas; e os doadores são aquele tipo raro de indivíduo que ajuda os outros sem esperar nada em troca. Grant revela que, ao contrário do que muitos pensam, as pessoas mais bem-sucedidas nas mais variadas carreiras não são as mais egoístas e implacáveis nem as que agem com base no 'toma lá dá cá'. Os que chegam mais longe são os doadores.|/MyLibrary/Images/Books/126.png|126.png
DATACLISMA|CHRISTIAN RUDDER||01/01/2015|Best Seller|304|9788576846864|Não|||Através da análise dos dados de um site de relacionamentos, uma investigação audaciosa e irreverente sobre o comportamento humano Com nossas vidas cada vez mais expostas on-line, é possível que usem nossos dados para todo tipo de atividade- nos espionar, nos contratar, nos demitir e, principalmente, nos vender coisas de que realmente não precisamos. Em Dataclisma, no entanto, Christian Rudder usa todos esses dados para nos mostrar quem realmente somos na internet quando pensamos que ninguém está vendo. Ousado, original e irreverente, Rudder encara o desafio de manter a privacidade do público ao mesmo tempo em que explica, com base na análise dos dados, a diferença do comportamento dos homens e mulheres na rede; como o botão curtir do Facebook pode prever, com precisão surpreendente, a orientação sexual de uma pessoa; como mulheres bonitas têm mais chances de conseguir se sair bem em entrevistas de emprego; como o Twitter pode provocar uma nova dinâmica do ódio em massa e muito mais. O autor mostra como a Internet pode ser um lugar vibrante, brutal, carinhoso, indulgente, enganador, sensual e cheio de fúria. Afinal ela reflete a nossa sociedade e é composta por seres humanos. Da zona urbana a rural, dos ricos aos pobres, dos negros aos asiáticos, passando por brancos e latinos, de várias idades, todos estão conectados. E nunca na história da humanidade suas vidas e relações nunca foram tão rastreadas e transformadas em dados. Christian Rudder é cofundador e presidente do OkCupid, além de tocar na banda Bishop Allen. Seu trabalho tem sido divulgado em veículos importantes como o New York Times, a New Yorker e muitos outros.|/MyLibrary/Images/Books/110.png|110.png
De Zero A Um (Em Portugues do Brasil)|Peter Thiel/Blake Masters||01/01/2014|Objetiva|0|9788539006205|Não||||/MyLibrary/Images/Books/159.png|159.png
Decisoes Mais Inteligentes (Em Portuguese do Brasil)|Vários Autores||2008|Elsevier|0|9788535229332|Não||||/MyLibrary/Images/Books/145.png|145.png
Desafio da Lideranca, O : Como Aperfeicoar sua Capacidade de Liderar|James Kouzes||2013|Elsevier|0|9788535262254|Não||||/MyLibrary/Images/Books/149.png|149.png
Descarte velhas regras, adote novas leis - Como equilibrar metas de curto e longo prazo e vencer a crise do imediatismo|DON PEPPERS||2008|Globo Livros|344|9788525045683|Não|||Aos profissionais e estudantes de Administração de Empresas, Publicidade, Economia e diversos ramos ligados ao mercado corporativo são apresentadas idéias de aplicação imediata em substituição a antigos pressupostos, imitações e círculos viciosos encontrados nas empresas do mundo inteiro. A obra ainda propõe aos acionistas um outro modo de pensar e sugere o uso de tecnologias de ponta para tornar o ambiente empresarial mais competitivo. A idéia é que o acionista e o executivo repensem a administração do seu negócio e invistam naquilo que de fato reverterá em crescimento direto.|/MyLibrary/Images/Books/73.png|73.png
Descubra seus pontos fortes|Marcus Buckingham||2008|Sextante|270|9788575423929|Não|||Marcus Buckingham e Donald O. Clifton descobriram que a maioria das empresas dá pouca ou nenhuma atenção aos pontos fortes de seus funcionários. Preferem investir tempo e dinheiro na tarefa de corrigir suas fraquezas, achando que desse modo as pessoas atingirão a excelência. Por outro lado, a pesquisa revelou que os profissionais bem-sucedidos compartilham um segredo - usam suas energias para aprimorar aquilo que fazem melhor, deixando seus pontos fracos em segundo plano. E, assim, tornam-se cada vez mais competentes, produtivos e felizes. Para ajudar o leitor a descobrir quais são e como aprimorar seus talentos e de seus colaboradores, este livro traz um programa em torno do teste 'Descubra a fonte de seus pontos fortes'.|/MyLibrary/Images/Books/53.png|53.png
Desenhando com o lado direito do cérebro|Betty Edwards|Drawing|2000|Ediouro Publicações|299|9788500007484|Não|||Desenhando com o Lado Direito do Cérebro' é um livro de ensino de desenho que procurar mostrar como adquirir a habilidade desejada, como confiar nesta habilidade e como aprofundar a percepção artística. Esta edição traz ainda - progressos de pesquisas sobre o cérebro relacionadas ao desenho; diversas abordagens no uso de técnicas de desenho no mundo empresarial e na educação; orientações para a expressão pessoal através do desenho; maneiras de avançar do desenho em branco e preto para o colorido; informações detalhadas quanto à aplicação das cinco habilidades básicas do desenho para resolver problemas.|/MyLibrary/Images/Books/128.png|128.png
Desenvolvimento como liberdade|Amartya Sen|Economic development|2000|Editora Companhia das Letras|409|9788571649781|Não|||Desenvolvimento como liberdade; A perspectiva da liberdade; Os fins e os meios do desenvolvimento; Liberdade e os fundamentos da justiça; Pobreza como privação de capacidades; Mercados, Estado e oportunidade social; A importância da democracia; Fomes coletivas e outras crises; A condição de agente das mulheres e a mudança social; População, alimento e lberdade; Cultura e direitos humanos; Escolha social e comportamento individual; Liberdade individual como um comprometimento social.|/MyLibrary/Images/Books/76.png|76.png
Destaque-Se - Standout (Em Portugues do Brasil)|Marcus Buckingham||01/01/2012|Sextante|0|9788575428542|Não||||/MyLibrary/Images/Books/52.png|52.png
DEVAGAR E SIMPLES|ANDRE LARA RESENDE||01/01/2015|Companhia das Letras2|208|9788535926248|Não|||Depois de Os limites do possível, coletânea de textos que questionam o pressuposto de que o crescimento leva necessariamente ao bem-estar e à felicidade -, André Lara Resende reúne agora momentos altos de sua produção dos últimos anos, entre artigos publicados na imprensa e ensaios inéditos. As alternativas para o desenvolvimento social continuam sendo tema forte em Devagar e simples, que tem como segundo centro de interesses a deturpação da política e a necessidade de se repensar o Estado como ferramenta principal no combate ao subdesenvolvimento. De maneira clara e direta, mas sem prejuízo da análise fina, Lara Resende provoca o leitor a pensar de maneira original sobre grandes dilemas econômicos.|/MyLibrary/Images/Books/68.png|68.png
Divergente|Veronica Roth||01/01/2012|Rocco Jovens Leitores|502|9788579801310|Não||||/MyLibrary/Images/Books/2.png|s2.png
Do que é feito o pensamento|Steven Pinker||2008|Editora Companhia das Letras|561|9788535913026|Não|||Combinando alguns de seus livros anteriores como 'O instinto da linguagem' (1994) e 'Como a mente funciona' (1997), Steven Pinker encontra na linguagem uma janela para uma possível explicação da natureza humana.|/MyLibrary/Images/Books/135.png|135.png
EFEITO MEDICI, O - COMO REALIZAR DESCOBERTAS|FRANS JOHANSSON||2008|Best Seller|280|9788576842040|Não|||O Efeito Medici' apresenta histórias sobre interseções entre campos tão diversos quanto ciência, negócios, arte e política. A partir de diversos exemplos, a obra aborda a importância de romper barreiras associativas e avaliar problemas sob novas perspectivas, combinar aleatoriamente, mas de forma objetiva, conceitos diversos, afastar-se de redes conhecidas e se aventurar pelas desconhecidas e ir além dos fracassos para fazer as idéias intersecionais acontecerem.|/MyLibrary/Images/Books/156.png|156.png
Eficacia profissional|ANTONIO CARLOS VALENÇA||1997|Qualitymark Editora Ltda|274|9788573031270|Não|||Nesta obra, Valença apresenta os principais conceitos de Ciência da Ação, cujas origens remontam à Theory in Practice, de Chris Argyris e Donald Schön, acompanhando a evolução de muitos destes princípios na obra dos autores. O livro está dividido em duas partes; a primeira apresenta os principais temas relacionados à Ciência da Ação, e a segunda aborda a utilização prática destes conceitos.|/MyLibrary/Images/Books/35.png|35.png
Em chamas|Suzanne Collins|Adventure and adventurers|2011|French and European Publications Inc|413|9788579800641|Não|||Depois de ganhar os Jogos Vorazes, competição entre jovens transmitida ao vivo para todos os distritos de Panem, Katniss agora terá que enfrentar a represália da Capital e decidir que caminho tomar quando descobre que suas atitudes nos jogos incitaram rebeliões em alguns distritos. Dessa vez, além de lutar por sua própria vida, terá que proteger seus amigos e familiares e, talvez, todo o povo de Panem.|/MyLibrary/Images/Books/6.png|s6.png
Empresas feitas para vencer|JIM COLLINS||2001|Gulf Professional Publishing|395|9788535209181|Não|||Este livro sugere ao leitor descobrir o que é necessário para transformar o bom em ótimo e fala de como transformar uma boa organização numa organização que gera excelentes resultados sustentáveis. Trata, essencialmente, dos princípios atemporais do processo de transição de boa empresa para grande empresa. A obra, baseada em uma pesquisa com empresas norte-americanas, procura mostrar quais são os fatores que criam as grandes organizações duradouras de qualquer tipo. O autor aborda a relação entre valores corporativos e as grandes empresas duradouras. Inclui entre os capítulos - o bom é inimigo do ótimo, liderança nível 5, uma cultura de disciplina, aceleradores tecnológicos.|/MyLibrary/Images/Books/175.png|175.png
Ensaios científicos|Johann Wolfgang von Goethe||2012|Barany|116|9788561080150|Não|||A proposta deste livro é mostrar que Goethe resgatou a 'Metodologia Científica Dedutiva', a qual havia sido formulada por Aristóteles, para ser aceita como metodologia científica de validade universal. Como desenvolver essa metodologia científica é o objetivo deste livro; por isso se faz uma apresentação dos motivos nas páginas introdutórias e na 2a parte se faz referência especial aos seus ensaios científicos metodológicos.|/MyLibrary/Images/Books/189.png|189.png
Erros correntes da lingua portuguesa: Dicionario de questoes de linguagem (Portuguese Edition)|Adilson Gobes||1995|Editora Atlas|180|9788522411832|Não||||/MyLibrary/Images/Books/80.png|80.png
Essencia Da Mente, a|STEVE E CONNIRAE ANDREAS||1993|Grupo Editorial Summus|280|9788532304179|Não|||Uma abordagem ao mesmo tempo poderosa e suave no campo da programação nerolinguística, que permite superar os problemas da vida cotidiana. A descoberta de caminhos para melhorar a auto-estima e os relacionamentos, e criar motivações positivas. Relatos de experiências de pessoas que tiveram suas vidas alteradas ao entrar em contato com seu poder interior de transformação.|/MyLibrary/Images/Books/67.png|67.png
ESSENCIALISMO - A DISCIPLINADA BUSCA POR MENOS|GREG MCKEOWN||01/01/2015|Sextante|272|9788543102146|Não|||Se você se sente sobrecarregado e ao mesmo tempo subutilizado, ocupado mas pouco produtivo, e se o seu tempo parece servir apenas aos interesses dos outros, você precisa conhecer o essencialismo. O essencialismo é mais do que uma estratégia de gestão de tempo ou uma técnica de produtividade. Trata-se de um método para identificar o que é vital e eliminar todo o resto, para que possamos dar a maior contribuição possível àquilo que realmente importa. Quando tentamos fazer tudo e ter tudo, realizamos concessões que nos afastam da nossa meta. Se não decidimos onde devemos concentrar nosso tempo e nossa energia, outras pessoas - chefes, colegas, clientes e até a família - decidem por nós, e logo perdemos de vista tudo o que é significativo. Neste livro, Greg McKeown mostra que, para equilibrar trabalho e vida pessoal, não basta recusar solicitações aleatoriamente - é preciso eliminar o que não é essencial e se livrar de desperdícios de tempo. Devemos aprender a reduzir, simplificar e manter o foco em nossos objetivos. Quando realizamos tarefas que não aproveitam nossos talentos e assumimos compromissos só para agradar aos outros, abrimos mão do nosso poder de escolha. O essencialista toma as próprias decisões - e só entra em ação se puder fazer a diferença.|https://images-na.ssl-images-amazon.com/images/I/51dORfgKFwL.jpg|FwL.jpg
Execução|Larry Bossidy||2004|Elsevier Brasil|261|9788535215380|Não|||Este livro procura mostrar como fechar a lacuna entre os resultados prometidos e os alcançados. Os autores pretendem revelar a importância do envolvimento em uma organização e explicar por que um diálogo consistente sobre pessoas, estratégias e operações gera uma empresa baseada em honestidade e realismo.|/MyLibrary/Images/Books/202.png|202.png
FAÇA COMO STEVE JOBS - E REALIZE APRESENTAÇOES|CARMINE GALLO||01/01/2010|Lua de Papel|256|9788563066169|Não|||O método das apresentações de Steve Jobs é analisado neste livro por meio da estrutura de suas palestras. Em 'Faça como Steve Jobs', Carmine Gallo esclarece o magnetismo desse líder, destrinchando cada momento de suas apresentações em técnicas aplicáveis.|/MyLibrary/Images/Books/154.png|154.png
Faça tudo acontecer|DAVID ALLEN||2009|Gente|309|9788573126709|Não|||Faça tudo acontecer!' ajudará o leitor a definir onde está, quais são seus objetivos, e como pode alcançá-los. Controle e perspectiva são as bases do método de David Allen presentes neste livro para o leitor vencer no jogo do trabalho e nos negócios da vida.|/MyLibrary/Images/Books/77.png|77.png
Filosofia e Cidadania - Volume Único (Em Portuguese do Brasil)|José Antonio Marina||2010|SM Didático|0|9788576756101|Não||||/MyLibrary/Images/Books/18.png|18.png
FORA DE SERIE - OUTLIERS|MALCOLM GLADWELL||01/01/2008|Sextante|288|9788575424483|Não|||Neste livro, o autor faz a pergunta - 'O que torna grandes conquistadores pessoas diferentes?' Sua resposta é o lugar de onde eles vêm - sua cultura, sua família, sua geração e sua educação.|/MyLibrary/Images/Books/127.png|127.png
Gadget: Voce Nao e Um Aplicativo! - You Are Not A (Em Portugues do Brasil)|Jaron Lanier||01/01/2010|Saraiva|0|9788502101739|Não||||/MyLibrary/Images/Books/92.png|92.png
GEOATLAS|MARIA ELENA SIMIELLI||2012|Ática|184|9788508158119|Não|||Contém mais de duzentos mapas, incluindo mapas temáticos e mapas do Brasil. A disposição espelhada dos mapas - físicos e políticos - visa permitir a correlação entre os fenômenos geográficos analisados. Fotos, imagens de satélites, climogramas, perfis topográficos, glossário geográfico ilustrado, curiosidades geográficas e um índice analítico são trazidos neste Geoatlas.|/MyLibrary/Images/Books/15.png|15.png
Gerenciamento da rotina do trabalho do dia-a-dia|Vicente Falconi Campos||2004|Indg|266|9788598254036|Não|||O que é gerenciamento da rotina do trabalho do dia-a-dia (daily work routine management); Gerente como líder de mudanças; Como planejar a melhoria do seu gerenciamento; Promovendo mudanças por meio do 5S; Como gerenciar para melhorar resultados; Como padronizar sua área de trabalho; Como eliminar anomalias; Como monitorar os resultados do seu processo; Como gerenciar para manter seus resultados; Como aperfeiçoar o monitoramento dos rsultados dos seus processos; Prática do método de gerenciamento (PDCA) de melhorias; Como garantir a qualidade; Como gerenciar para melhorar seus resultados e alinhar as suas metas com as metas da diretoria; Como utilizar melhor o potencial humano.|/MyLibrary/Images/Books/184.png|184.png
GERENCIE SUA MENTE, NAO SEU TEMPO|DAVID ALLEN|||Landscape|198|8577750353|Não|||Gerencie sua mente, não seu tempo' procura ensinar ao leitor como fazer com que tudo aconteça sem tanto esforço, estresse e com mais energia e criatividade. São 52 capítulos de dicas para viver sem estresse, apreendendo a focar as coisas que realmente importam. David Allen compartilha com o leitor seus próprios princípios para 'o domínio sobre o jogo do trabalho e da vida pessoal'. Procura ensinar como atingir concentração e calma para fazer escolhas, tomar decisões e para as novas circunstâncias que surgem diariamente. Enumera princípios de produtividade, auxiliando na melhoria do trabalho.||gerenciesuamente.jpg
Gestão Do Conhecimento|Harvard Business Review||2001|Elsevier Brasil|205|9788535206999|Não|||A gestão do conhecimento- a maneira como as empresas geram, difundem e alavancam seus ativos intelectuais- apenas recentemente emergiu como fonte essencial de vantagem competitiva na economia da informação. A Harvard Business Review se inclui entre os pioneiros no reconhecimento da importância da gestão do conhecimento. O pensamento de vanguarda e as aplicações práticas que estão definindo o novo campo se encontram prontamente disponíveis nesta coleção oportuna e inovadora que traz vários artigos sobre o tema.|/MyLibrary/Images/Books/101.png|101.png
GUIA DO TRABALHO CIENTIFICO|CELSO FERRAREZI JUNIOR||2011|Contexto|160|9788572446310|Não|||Guia do Trabalho Científico' é um livro de consulta para alunos que necessitam conhecer e executar as normas de publicações científicas. Os capítulos abordam desde a explicação sobre a organização do sistema acadêmico brasileiro, até o direcionamento de como organizar o conteúdo de um Trabalho de Conclusão de Curso, uma dissertação ou uma tese.|/MyLibrary/Images/Books/91.png|91.png
Guinness World Records 2014 (Em Portugues do Brasil)|Guinness World Records (Org. )||01/01/2013|Agir|0|9788522014897|Não||||/MyLibrary/Images/Books/10.png|10.png
Homem mais rico da Babilônia,O|George Samuel Clason||2006|Ediouro Publicações|157|9788500003042|Não|||Traz orientações através de parábola ambientada na Babilônia sobre como ter sucesso financeiro, ganhando dinheiro, sabendo poupá-lo e tendo mais lucro.|/MyLibrary/Images/Books/96.png|96.png
IDEIAS QUE COLAM|CHIP HEATH||2007|Editora Campus|280|9788535216912|Não|||Todo mundo tem idéias a transmitir. De CEOs de grande empresas a mães que se dedicam à educação de seus filhos - um novo produto a ser lançado no mercado ou valores que está tentando ensinar a seus filhos. Mas é extremamente difícil influenciar e transformar a forma de agir e pensar das pessoas. Mas o que faz com que algumas idéias 'peguem' e outras não? Como aumentar as chances de ter idéias que valem a pena? Neste livro os educadores, Chip e Dan Heath, abordam questões intrigantes sobre o que faz uma idéia repercutir e, além disso, permanecer no imaginário das pessoas. Provocativo, esclarecedor e engraçado, este livro mostra os princípios essenciais de idéias vencedoras.|/MyLibrary/Images/Books/148.png|148.png
Imagens da organização|Gareth Morgan||1996|Atlas|421|9788522413416|Não|||O autor interpreta as organizações a partir de metáforas, comparando-as a imagens que permitem vê-las enquanto máquinas, organismos vivos, cérebros, culturas, sistemas políticos, prisões psíquicas, fluxos e transformações e, finalmente, enquanto instrumentos de dominação. A abordagem apresentada neste livro deixa claro que as organizações são geralmente complexas, ambíguas e repletas de paradoxos. Como propõe o autor, o verdadeiro desafio é aprender a lidar com esta complexidade.|/MyLibrary/Images/Books/183.png|183.png
Incrivelmente Simples: A Obsessao que Levou a Apple ao Sucesso|Ken Segall||2012|Elsevier|0|9788535256406|Não||||/MyLibrary/Images/Books/174.png|174.png
INGENIUM|TINA SEELING||2012|Virgiliae|216|9788564684225|Não|||Nesta obra, a autora apresenta casos de criatividade buscando deixar claro que é possível aprender a encarar os desafios da vida profissional e pessoal de um outro jeito e obtendo resultados mais expressivos. Seeling dá exemplos dos possíveis movimentos dessa máquina e como fazer para potencializar ou tirar proveito de cada um desses fatores.|/MyLibrary/Images/Books/152.png|152.png
INSURGENTE - UMA ESCOLHA PODE TE DESTRUIR|VERONICA ROTH|Juvenile Nonfiction|13/04/2013|Rocco Jovens Leitores|512|9788579801556|Não|||Na Chicago futurista criada por Veronica Roth em Divergente, as facções estão desmoronando. E Beatrice Prior tem que arcar com as consequências de suas escolhas. Em Insurgente, a aguardada continuação da série de distopia que se tornou o novo fenômeno do disputado mercado Young Adult após Jogos Vorazes, a jovem Tris tenta salvar aqueles que ama - e a própria vida - enquanto lida com questões como mágoa e perdão, identidade e lealdade, política e amor.|/MyLibrary/Images/Books/4.png|s4.png
Inteligencia Positiva (Em Portugues do Brasil)|Shirzad Chamine||01/01/2013|Fontanar|0|9788539004621|Não||||/MyLibrary/Images/Books/88.png|88.png
INTR.AO ESTUDO DA ADMINISTRACA O|Antonio Maximiano|||Artmed|0|9788522436279|Não||||/MyLibrary/Images/Books/11.png|11.png
INTRODUÇAO A NOVA ORDEM MUNDIAL|ALEXANDRE COSTA||04/05/2015|Vide|172|9788567394503|Não|||O livro não pretende analisá-lo minuciosamente, mas sim introduzir o assunto- o que é, em suma, a Nova Ordem Mundial, quem são os agentes, as ações, os planos, as organizações e as estratégias já em curso dentro deste complexo e obscuro cenário sócio-político no qual vivemos hoje em dia. O livro, escrito numa linguagem clara e objetiva, é fortemente recomendado pelo filósofo e jornalista Olavo de Carvalho como indispensável para quem quer entender as bases e os elementos fundamentais do jogo político global das últimas décadas.|/MyLibrary/Images/Books/24.png|24.png
Introdução à programação neurolingüística|Joseph O'Connor||1995|Summus|227|9788532304711|Não|||Completo manual sobre essa nova modalidade em psicologia aplicada que tanto tem atraído os profissionais e o público em geral. Por que algumas pessoas são mais bem-sucedidas do que outras? A PNL descreve e analisa as razões e as formas que poderão conduzi-lo até o sucesso.|/MyLibrary/Images/Books/69.png|69.png
Jogos Vorazes - Portuguese edition of Hunger Games volume 1|Suzanne Collins||05/05/2010|French and European Publications Inc|400|9788579800245|Não||||/MyLibrary/Images/Books/7.png|s7.png
JUNTOS|RICHARD SENNETT||06/07/2012|Record|378|9788501098085|Não|||Nesta obra, Richard Sennett procura explorar como as pessoas podem aprender a cooperar nas culturas intensamente competitivas e egoístas. Dividido em três partes, 'Juntos' aborda a natureza da cooperação, por que esta se tornou fraca, e como poderia ser reforçada. Sennett adverte que a pessoas devem aprender a arte da cooperação se quiserem que a sociedade prospere.|/MyLibrary/Images/Books/44.png|44.png
JUSTIÇA - O QUE E FAZER A COISA CERTA|MICHAEL SANDEL||01/01/2011|Civilizacao Brasileira|352|9788520010303|Não|||Justiça' faz uma exploração investigativa e lírica do significado de justiça e convida os leitores de todas as doutrinas políticas a considerar as controvérsias familiares. Ação afirmativa, casamento entre pessoas do mesmo sexo, suicídio assistido, aborto, serviço militar, patriotismo e protesto, os limites morais dos mercados - Sandel dramatiza o desafio de meditar sobre esses conflitos e mostra como uma abordagem da filosofia pode ajudar a entender a política e a moralidade.|/MyLibrary/Images/Books/178.png|178.png
Leitura Dinâmica|GERALDO R. CARAVANTES|||Editora AGE Ltda|164|9788574971919|Não|||Neste livro, o autor aborda os princípios e técnicas utilizados para o desenvolvimento da leitura dinâmica, com uma introdução sobre o método, empregando exemplos diversos, além de testes e dicas.|/MyLibrary/Images/Books/93.png|93.png
LIBERTE-SE DOS MEDOS|JOSEPH O'CONNOR||2008|Qualitymark Editora Ltda|280|9788573036992|Não|||O livro é recomendado a todos que queiram mover-se de forma mais fácil e confiante ao longo da vida. A obra oferece uma visão de nossas ansiedades diárias. Diz respeito, também, a aproveitar a felicidade e a liberdade emocional de uma vida sem medos irreais. Alguns medos merecem ser alvo de riso, alguns merecem ser ignorados, outros respeitados e você precisa saber distinguir uns dos outros.|/MyLibrary/Images/Books/28.png|28.png
Macbeth Cole‹o Reencontro Literatura|William Shakespeare||2002|Scipione|0|9788526246614|Não||||/MyLibrary/Images/Books/16.png|16.png
MAIS DO QUE CHEGAR AO SIM|ERICA ARIEL FOX||2014|Saraiva|280|9788502225527|Não|||Quantas vezes por dia você precisa negociar com você mesmo, querendo saber se vai aceitar mais um projeto ou manter sua promessa de pegar mais leve neste ano? Será que você deve dizer sim, deve dizer não ou deve tentar ganhar mais tempo? Deve fazer uma concessão ou insistir no seu ponto de vista? Deve falar o que realmente pensa ou ficar quieto para não se indispor com ninguém? Se você souber como vencer o seu cabo de guerra interior, pode 'chegar ao sim' e transformar sua vida. Como no renomado programa de negociação da Harvard, a obtenção de resultados é feita pela negociação de dentro para fora e este livro oferece um mapa para superar o maior desafio em cada negociação - fechar a lacuna entre o que as pessoas sabem que deve dizer e o que eles realmente fazem na prática. Com franqueza, bom humor e ideias originais, este livro apresenta um roteiro claro para explorar o seu mundo interior e um método prático para desvendar a si mesmo. Ao entender melhor o que Erica Fox chama de seus 'negociadores internos', você aprenderá a transformar contratempos em avanços. Munido do conhecimento e das ferramentas que lhe permitirão sair do seu próprio caminho, você enxergará novas possibilidades para realizar os seus sonhos.|/MyLibrary/Images/Books/59.png|59.png
Manual do CEO - Um Verdadeiro MBA Para o Gestor do Seculo XXI (Em Portugues do Brasil)|Josh Kaufman||01/01/2012|Saraiva|400|9788502163164|Não||||/MyLibrary/Images/Books/172.png|172.png
Manual do Estudante de Design (Em Portuguese do Brasil)|Vários Autores||2013|Europa|0|9788579601811|Não||||/MyLibrary/Images/Books/17.png|17.png
Matematica financeira|Washington Franco Mathias, Jose Maria Gomes.-||1992|Atlas||9788522408122|Não|||||no_img.jpg
Matemática Financeira|Samuel Hazzan|||Saraiva|0|9788502032750|Não||||/MyLibrary/Images/Books/204.png|204.png
